,age,height_cm,weight_kgs,positions,potential,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
9834,31,185.42,73.0,823,64,1,3,2,9,65,63,67,58,65,60,66,62,53,63,40,38,63,65,66,71,68,55,80,64,69,38,66,61,66,67,31,44,34
5815,17,185.42,76.2,327,76,1,2,1,3,13,8,11,28,6,13,10,10,15,21,23,26,25,40,20,20,26,13,43,9,14,8,4,32,41,38,9,14,10
4093,18,172.72,64.9,15,81,1,3,3,3,55,40,40,66,46,58,58,53,61,61,64,60,73,50,74,47,48,54,36,32,49,35,53,64,50,63,38,55,52
7476,19,182.88,73.9,307,73,1,3,3,3,56,49,44,65,50,61,49,40,57,63,65,71,63,67,63,65,57,65,66,47,44,49,58,59,47,58,55,45,32
16455,31,152.4,76.2,149,74,1,3,2,6,42,65,73,76,71,64,53,71,77,70,74,76,68,82,68,82,68,77,69,77,66,66,70,63,70,69,81,76,68
6699,31,154.94,67.1,247,59,1,3,2,3,46,53,46,64,40,55,47,50,59,60,69,68,72,58,72,56,68,50,58,53,48,48,58,62,52,55,49,48,42
6700,17,175.26,62.1,823,81,1,5,2,3,45,68,57,41,42,62,35,50,35,51,72,76,60,65,75,51,63,70,47,47,34,17,55,49,67,55,13,18,20
3991,20,154.94,74.8,140,76,1,3,2,3,38,50,49,66,35,61,46,33,61,65,56,60,65,51,76,55,52,62,62,31,60,59,49,59,45,61,51,56,52
14684,25,187.96,81.2,116,74,1,2,3,6,66,36,71,66,51,63,65,75,73,67,67,72,61,68,54,68,61,70,76,58,68,70,55,66,58,66,70,72,72
9194,30,182.88,76.2,823,63,1,3,2,6,48,66,56,44,64,48,61,55,31,59,65,66,71,70,60,69,75,79,77,59,78,21,63,42,44,62,36,12,14
10894,23,195.58,93.9,823,73,1,4,2,6,30,71,72,49,67,57,36,33,34,55,55,66,47,61,35,68,67,59,90,48,63,24,66,45,50,49,23,36,28
10138,24,154.94,77.1,744,70,1,3,3,6,52,68,64,61,58,71,56,43,47,67,71,72,69,60,65,65,67,68,64,57,63,34,68,61,57,62,45,32,30
1147,32,187.96,87.1,104,71,1,3,2,6,52,28,73,70,23,67,33,30,65,60,62,56,47,68,59,51,72,75,76,12,68,69,50,58,38,70,72,70,71
6517,21,175.26,69.9,247,71,1,3,3,6,52,50,44,61,48,59,50,52,54,57,68,67,78,50,76,53,53,67,51,54,39,53,55,56,51,56,44,52,47
2814,26,182.88,78.0,327,69,1,3,1,3,15,14,19,31,14,17,20,13,18,24,42,41,59,55,53,21,59,42,54,13,25,24,20,12,28,34,10,20,13
14084,28,187.96,81.2,879,70,1,3,3,6,70,69,67,66,67,64,61,63,65,67,81,82,66,64,53,72,74,75,73,61,66,32,69,61,60,60,34,39,42
8466,34,182.88,77.1,104,62,1,2,2,3,52,32,59,58,48,51,53,29,51,60,41,50,61,58,62,50,63,61,71,43,60,58,27,44,30,60,59,62,59
10480,22,170.18,64.9,823,76,1,3,3,3,51,71,39,64,63,65,58,35,57,67,77,83,82,58,71,68,63,52,42,62,30,21,70,50,56,60,21,24,33
9701,20,172.72,68.0,104,79,1,3,2,6,28,21,69,66,33,40,32,20,35,48,78,80,76,62,68,31,75,68,73,30,50,62,20,36,34,55,55,65,65
9144,26,190.5,76.2,327,67,1,3,1,3,12,8,15,28,12,12,12,14,15,16,49,42,41,56,39,19,69,36,61,10,38,12,10,12,17,33,10,15,14
6128,24,152.4,68.9,75,64,1,3,2,6,48,56,41,50,48,60,46,47,52,61,74,71,60,49,66,54,67,61,60,56,47,43,55,51,49,52,32,38,40
15348,27,185.42,78.0,823,73,1,3,3,3,56,71,67,65,73,71,58,43,40,72,74,75,75,73,64,73,80,65,76,67,80,28,72,62,64,79,54,24,19
17083,26,190.5,77.1,104,79,2,4,2,3,30,38,79,66,28,42,33,39,69,57,50,46,52,74,49,58,67,61,78,35,68,79,37,39,37,71,76,79,75
12703,21,193.04,86.2,104,77,1,3,2,6,31,26,63,68,31,41,34,30,54,44,50,60,31,57,39,40,61,64,85,28,64,59,27,28,44,58,68,73,68
